day,interval,detid,flow,occ,error,city,speed
2017-11-13,31200,N51331K,780.0,24.375,1.0,bolton,32.0
2017-11-13,31200,N51331A,552.0,14.5263157894737,1.0,bolton,38.0
2017-11-13,31200,N51381F,1068.0,178.0,1.0,bolton,6.0
2017-11-13,31200,N51381D,240.0,10.0,1.0,bolton,24.0
2017-11-13,31200,N51331Z,0.0,0.0,1.0,bolton,0.0
2017-11-13,31200,N51341X,396.0,16.5,1.0,bolton,24.0
2017-11-13,31200,N51331L,144.0,8.47058823529412,1.0,bolton,17.0
2017-11-13,31200,N51341V,588.0,15.4736842105263,1.0,bolton,38.0
2017-11-13,31200,N51331B,600.0,18.1818181818182,1.0,bolton,33.0
2017-11-13,31200,N51341A,600.0,17.1428571428571,1.0,bolton,35.0
2017-11-13,31200,N51343U,672.0,24.8888888888889,1.0,bolton,27.0
2017-11-13,31200,N51342A,528.0,16.5,1.0,bolton,32.0
2017-11-13,31200,N51351S,528.0,17.6,1.0,bolton,30.0
2017-11-13,31200,N51341W,600.0,18.1818181818182,1.0,bolton,33.0
2017-11-13,31200,N51351N,756.0,27.0,1.0,bolton,28.0
2017-11-13,31200,N51351M,312.0,15.6,1.0,bolton,20.0
2017-11-13,31200,N51351B,720.0,22.5,1.0,bolton,32.0
2017-11-13,31200,N51352P,672.0,21.0,1.0,bolton,32.0
2017-11-13,31200,N51351J,624.0,26.0,1.0,bolton,24.0
2017-11-13,31200,N51352Q,504.0,20.16,1.0,bolton,25.0
2017-11-13,31200,N51391I,516.0,13.9459459459459,1.0,bolton,37.0
2017-11-13,31200,N51361O,1116.0,41.3333333333333,1.0,bolton,27.0
2017-11-13,31200,N51391F,504.0,18.6666666666667,1.0,bolton,27.0
2017-11-13,31200,N51391C,564.0,17.0909090909091,1.0,bolton,33.0
2017-11-13,31200,N51391E,0.0,0.0,1.0,bolton,0.0
2017-11-13,31200,N51271H,72.0,3.0,1.0,bolton,24.0
2017-11-13,31200,N51271I,0.0,0.0,1.0,bolton,0.0
2017-11-13,31200,N51271J,300.0,12.0,1.0,bolton,25.0
2017-11-13,31200,N53151Z,0.0,0.0,1.0,bolton,0.0
2017-11-13,31200,N53151B,60.0,0.75,1.0,bolton,80.0
2017-11-13,31200,N53231D,96.0,4.8,1.0,bolton,20.0
2017-11-13,31200,N53241V,0.0,0.0,1.0,bolton,0.0
2017-11-13,31200,N53151A,96.0,2.74285714285714,1.0,bolton,35.0
